"ID","TYPE","VALUE_MIN","VALUE_MAX","R","G","B","VALUE_STR"
"170","temp2","-100","-30","2","12","100",
"171","temp2","-30","-28","7","30","120",
"172","temp2","-28","-26","17","49","139",
"173","temp2","-26","-24","27","68","159",
"174","temp2","-24","-22","38","87","179",
"175","temp2","-22","-20","48","106","199",
"176","temp2","-20","-18","59","126","219",
"177","temp2","-18","-16","78","138","211",
"178","temp2","-16","-14","97","150","224",
"179","temp2","-14","-12","116","163","226",
"180","temp2","-12","-10","135","175","229",
"181","temp2","-10","-8","155","188","232",
"182","temp2","-8","-6","154","196","220",
"183","temp2","-6","-4","153","205","208",
"184","temp2","-4","-2","152","214","196",
"185","temp2","-2","0","151","232","173",
"186","temp2","0","3","215","222","126",
"187","temp2","3","6","234","219","112",
"188","temp2","6","9","244","217","99",
"189","temp2","9","12","250","204","79",
"190","temp2","12","18","247","180","45",
"191","temp2","18","20","242","150","0",
"192","temp2","20","22","241","147","3",
"193","temp2","22","24","240","132","10",
"194","temp2","24","26","239","117","17",
"195","temp2","26","28","238","102","24",
"196","temp2","28","30","238","88","31",
"197","temp2","30","32","231","75","26",
"198","temp2","32","34","224","63","22",
"199","temp2","34","36","217","51","18",
"200","temp2","36","38","208","36","14",
"201","temp2","38","40","194","0","3",
"202","temp2","40","100","181","1","9",
