"VALUE","LON","LAT"
"24","108.25","27.94"
"20","107.52","26.33"
"21","107.59","26.5"
"21","107.81","26.2"
"22","108.68","26.96"
"23","108.43","26.72"
"21","108.08","26.4"
"24","109.21","26.91"
"24","109.19","26.68"
"19","105.22","25.83"
"20","105.64","25.4"
"24","106.09","25.18"
"19","105.49","25.12"
"23","105.82","24.99"
"18","106.65","26.67"
"20","106.66","26.15"
"19","106.99","26.46"
"20","106.76","26.64"
"22","106.77","25.44"
"20","107.56","25.84"
"22","107.87","25.98"
"22","107.89","25.42"
"24","108.92","25.76"
"21","106.22","28.33"
"19","106.72","26.58"
"19","105.92","26.27"
"21","106.83","27.54"
"22","109.2","27.52"
"22","108.31","26.68"
"23","108.13","28.26"
"22","108.12","27.04"
"20","107.51","26.71"
"22","107.61","28.89"
"18","104.73","27.13"
"17","104.87","26.59"
"18","104.97","25.79"
"16","104.47","25.72"
"21","106.82","28.14"
"25","105.7","28.59"
"22","107.45","28.56"
"23","107.89","28.53"
"25","108.5","28.56"
"25","109.2","28.17"
"18","105.29","27.31"
"22","106.4","27.84"
"22","106.94","27.71"
"20","106.24","27.48"
"20","106.74","27.11"
"18","106.97","27.07"
"21","107.19","27.97"
"22","107.48","27.77"
"19","107.47","27.05"
"23","107.88","27.23"
"24","108.23","27.56"
"23","108.82","27.19"
"23","108.42","27.06"
"24","108.88","27.23"
"25","109.18","27.73"
"18","105.37","26.77"
"19","106.03","27.04"
"20","105.77","26.68"
"19","105.47","26.21"
"20","105.75","26.32"
"20","105.77","26.05"
"18","106.6","26.86"
"19","106.26","26.42"
"20","106.44","26.03"
"22","107.9","26.9"
"19","107.23","26.59"
"22","107.99","26.6"
"23","109.14","26.24"
"19","105.18","25.43"
"20","104.91","25.09"
"20","106.09","25.77"
"20","106.62","26.48"
"24","108.52","25.93"
"25","108.84","27.7"
"20","105.61","25.94"
"22","107.73","27.98"
"15","104.29","26.87"
"18","105.6","27.16"
"23","108.4","28.02"
"19","106.47","26.57"
"20","107.32","25.83"
